[2026-02-12 23:04:17] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-12 23:04:17] | RECHAZADO | 0 | 0.69 | 12000.0 | Vacaciones
[2026-02-12 23:04:17] | REVISION_MANUAL | 65 | 0.20 | 10000.0 | Consumo
[2026-02-12 23:04:17] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-12 23:04:17] | RECHAZADO | 0 | 0.69 | 12000.0 | Vacaciones
[2026-02-12 23:04:17] | REVISION_MANUAL | 65 | 0.20 | 10000.0 | Consumo
[2026-02-13 08:37:32] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-13 08:37:32] | RECHAZADO | 0 | 0.69 | 12000.0 | Vacaciones
[2026-02-13 08:37:32] | REVISION_MANUAL | 65 | 0.20 | 10000.0 | Consumo
[2026-02-13 08:37:32] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-13 08:37:32] | RECHAZADO | 0 | 0.69 | 12000.0 | Vacaciones
[2026-02-13 08:37:32] | REVISION_MANUAL | 65 | 0.20 | 10000.0 | Consumo
[2026-02-13 12:47:19] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-13 12:47:19] | RECHAZADO | 0 | 0.69 | 12000.0 | Vacaciones
[2026-02-13 12:47:19] | REVISION_MANUAL | 65 | 0.20 | 10000.0 | Consumo
[2026-02-13 12:47:19] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-13 12:47:19] | RECHAZADO | 0 | 0.69 | 12000.0 | Vacaciones
[2026-02-13 12:47:19] | REVISION_MANUAL | 65 | 0.20 | 10000.0 | Consumo
[2026-02-13 13:10:27] | APROBADO | 100 | 0.06 | 10000.0 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.06 | 10000.0 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 2.00 | 15000.0 | Vacaciones
[2026-02-13 13:10:53] | REVISION_MANUAL | 79 | 0.20 | 8000.0 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.30 | 12000.0 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 100 | 0.70 | 5000.0 | Negocio
[2026-02-13 13:10:53] | REVISION_MANUAL | 63 | 0.12 | 5000.0 | Educacion
[2026-02-13 13:10:53] | APROBADO | 100 | 0.16 | 25000.0 | Negocio
[2026-02-13 13:10:53] | REVISION_MANUAL | 61 | 0.21 | 5476.74 | Emergencia
[2026-02-13 13:10:53] | APROBADO | 100 | 0.05 | 6338.29 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.63 | 10248.63 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.14 | 3945.6 | Educacion
[2026-02-13 13:10:53] | APROBADO | 100 | 0.18 | 10935.16 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 15 | 0.70 | 11578.39 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.19 | 9409.68 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.20 | 5748.58 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.06 | 7747.58 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.41 | 12825.06 | Consumo
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.65 | 21121.0 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.13 | 11180.52 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.23 | 19307.24 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.65 | 11362.46 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.72 | 28440.17 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.45 | 25952.51 | Consumo
[2026-02-13 13:10:53] | RECHAZADO | 5 | 0.40 | 17309.03 | Emergencia
[2026-02-13 13:10:53] | APROBADO | 100 | 0.15 | 7481.05 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.44 | 20945.68 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.08 | 6341.73 | Negocio
[2026-02-13 13:10:53] | REVISION_MANUAL | 68 | 0.38 | 6414.89 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 16 | 0.27 | 17008.89 | Consumo
