edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,etiqueta_real,etiqueta_binaria,score_mihac,dictamen,y_pred,y_real,dti_mihac,dti_clasificacion,n_reglas_activadas,umbral_aplicado
67,8183.0,2045.75,0,8,1,Propia,Consumo,12274.5,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
49,15283.33,5349.17,0,5,1,Propia,Educacion,22008.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,4,85
28,8184.17,2864.46,1,2,1,Rentada,Consumo,14731.5,1,1,52,RECHAZADO,0,1,0.35,MODERADO,1,80
53,4242.0,1060.5,0,8,1,Propia,Consumo,25452.0,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,85
25,23543.33,8240.17,0,0,1,Propia,Negocio,50000.0,1,1,20,RECHAZADO,0,1,0.35,MODERADO,4,85
48,9958.67,3485.53,0,2,1,Propia,Consumo,22407.0,1,1,27,RECHAZADO,0,1,0.35,MODERADO,2,85
44,38602.08,3860.21,1,2,1,Rentada,Consumo,27793.5,1,1,72,REVISION_MANUAL,0,1,0.1,BAJO,1,85
48,58826.25,20589.19,0,0,1,Rentada,Consumo,23530.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,2,85
44,8769.44,1753.89,0,0,1,Propia,Consumo,18942.0,1,1,3,RECHAZADO,0,1,0.2,BAJO,3,80
26,18103.75,4525.94,0,2,1,Propia,Consumo,21724.5,1,1,32,RECHAZADO,0,1,0.25,MODERADO,2,85
36,60112.5,27050.62,1,2,1,Propia,Consumo,14427.0,1,1,55,RECHAZADO,0,1,0.45,ALTO,3,80
27,14656.25,5862.5,1,2,1,Propia,Consumo,42210.0,1,1,65,REVISION_MANUAL,0,1,0.4,ALTO,2,85
57,4424.0,1106.0,0,8,1,Rentada,Negocio,13272.0,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
33,5159.0,2321.55,2,0,1,Propia,Consumo,15477.0,1,1,44,RECHAZADO,0,1,0.45,ALTO,5,80
31,33414.06,15036.33,0,2,1,Familiar,Educacion,50000.0,1,1,5,RECHAZADO,0,1,0.45,ALTO,3,85
44,30158.33,10555.42,0,2,1,Propia,Emergencia,50000.0,1,1,42,RECHAZADO,0,1,0.35,MODERADO,2,85
24,54136.25,10827.25,0,5,1,Rentada,Consumo,50000.0,1,1,50,RECHAZADO,0,1,0.2,BAJO,2,85
35,5318.73,1861.56,0,0,1,Propia,Consumo,14626.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,80
23,59150.0,5915.0,1,0,1,Rentada,Consumo,14196.0,1,1,42,RECHAZADO,0,1,0.1,BAJO,2,80
39,172486.36,60370.23,0,2,1,Propia,Consumo,50000.0,1,1,40,RECHAZADO,0,1,0.35,MODERADO,2,85
29,4082.75,1428.96,0,0,1,Propia,Consumo,24496.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,85
30,57993.06,20297.57,0,8,1,Propia,Consumo,50000.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,3,85
31,23250.69,9300.28,0,2,1,Propia,Consumo,50000.0,1,1,26,RECHAZADO,0,1,0.4,ALTO,2,85
50,4303.6,1075.9,0,8,1,Propia,Consumo,16138.5,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
26,5566.75,1948.36,2,0,1,Propia,Consumo,33400.5,1,1,61,RECHAZADO,0,1,0.35,MODERADO,3,85
29,15830.21,7123.59,2,0,1,Propia,Consumo,22795.5,1,1,48,RECHAZADO,0,1,0.45,ALTO,5,85
46,4380.0,1095.0,0,8,1,Rentada,Consumo,7665.0,1,1,30,RECHAZADO,0,1,0.25,MODERADO,2,80
51,8487.5,3819.37,0,8,1,Familiar,Consumo,12222.0,1,1,6,RECHAZADO,0,1,0.45,ALTO,3,80
41,12404.17,5581.88,0,5,1,Propia,Negocio,50000.0,1,1,29,RECHAZADO,0,1,0.45,ALTO,5,85
66,5341.0,1869.35,0,8,1,Familiar,Consumo,16023.0,1,1,31,RECHAZADO,0,1,0.35,MODERADO,2,80
51,37951.14,13282.9,0,5,1,Propia,Consumo,50000.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,3,85
39,15289.81,3822.45,1,2,1,Propia,Consumo,50000.0,1,1,75,REVISION_MANUAL,0,1,0.25,MODERADO,2,85
22,11176.67,3911.83,2,0,1,Propia,Consumo,40236.0,1,1,72,REVISION_MANUAL,0,1,0.35,MODERADO,4,85
58,3071.25,1074.94,1,8,1,Propia,Consumo,18427.5,1,1,74,REVISION_MANUAL,0,1,0.35,MODERADO,2,80
29,4942.0,1729.7,0,2,1,Propia,Negocio,14826.0,1,1,35,RECHAZADO,0,1,0.35,MODERADO,3,80
27,3021.67,1057.58,0,0,1,Propia,Consumo,13597.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,80
56,3000.0,1050.0,0,8,1,Propia,Consumo,6489.0,1,1,39,RECHAZADO,0,1,0.35,MODERADO,3,80
54,4931.5,1726.02,0,8,1,Propia,Consumo,14794.5,1,1,42,RECHAZADO,0,1,0.35,MODERADO,3,80
20,6329.75,1582.44,0,8,1,Rentada,Consumo,37978.5,1,1,0,RECHAZADO,0,1,0.0,N/A,0,80
61,7042.0,1760.5,0,5,1,Propia,Educacion,21126.0,1,1,52,RECHAZADO,0,1,0.25,MODERADO,4,85
36,3000.0,1050.0,0,8,1,Propia,Consumo,24538.5,1,1,41,RECHAZADO,0,1,0.35,MODERADO,3,85
36,20582.92,7204.02,0,5,1,Rentada,Consumo,50000.0,1,1,41,RECHAZADO,0,1,0.35,MODERADO,2,85
24,9061.11,3171.39,0,2,1,Propia,Consumo,9786.0,1,1,24,RECHAZADO,0,1,0.35,MODERADO,2,80
35,8955.33,3134.37,0,5,1,Rentada,Consumo,20149.5,1,1,33,RECHAZADO,0,1,0.35,MODERADO,2,85
26,17828.12,4457.03,2,0,1,Rentada,Consumo,25672.5,1,1,61,RECHAZADO,0,1,0.25,MODERADO,3,85
30,84448.44,21112.11,1,0,1,Propia,Consumo,50000.0,1,1,57,RECHAZADO,0,1,0.25,MODERADO,3,85
31,63393.75,19018.13,0,8,1,Propia,Negocio,15214.5,1,1,71,REVISION_MANUAL,0,1,0.3,MODERADO,4,80
23,3000.0,1050.0,2,0,1,Rentada,Educacion,4116.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,4,80
47,3130.75,782.69,0,8,1,Propia,Consumo,37569.0,1,1,41,RECHAZADO,0,1,0.25,MODERADO,3,85
27,18655.0,4663.75,0,0,1,Rentada,Consumo,22386.0,1,1,0,RECHAZADO,0,1,0.25,MODERADO,2,85
36,11501.39,1150.14,0,5,1,Propia,Consumo,24843.0,1,1,52,RECHAZADO,0,1,0.1,BAJO,3,85
41,6769.0,2369.15,0,8,1,Rentada,Consumo,40614.0,1,1,32,RECHAZADO,0,1,0.35,MODERADO,2,85
63,3280.2,1148.07,0,8,1,Familiar,Consumo,8200.5,1,1,29,RECHAZADO,0,1,0.35,MODERADO,2,80
30,7423.5,2598.22,0,2,1,Propia,Consumo,22270.5,1,1,25,RECHAZADO,0,1,0.35,MODERADO,2,85
40,3000.0,1050.0,1,2,1,Propia,Consumo,7360.5,1,1,67,REVISION_MANUAL,0,1,0.35,MODERADO,2,80
34,6510.0,2278.5,0,0,1,Propia,Consumo,19530.0,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,80
27,15796.67,7108.5,2,0,1,Propia,Consumo,28434.0,1,1,48,RECHAZADO,0,1,0.45,ALTO,5,85
47,4629.33,2083.2,2,2,1,Familiar,Consumo,20832.0,1,1,47,RECHAZADO,0,1,0.45,ALTO,2,85
38,4340.0,1085.0,0,8,1,Propia,Consumo,13020.0,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
27,27912.5,1395.62,0,2,1,Propia,Consumo,50000.0,1,1,44,RECHAZADO,0,1,0.05,BAJO,2,85
35,7638.4,2673.44,0,5,1,Propia,Consumo,28644.0,1,1,44,RECHAZADO,0,1,0.35,MODERADO,3,85
27,10339.58,516.98,2,0,1,Propia,Consumo,7444.5,1,1,79,REVISION_MANUAL,0,1,0.05,BAJO,4,80
30,5594.17,1957.96,2,0,1,Propia,Consumo,50000.0,1,1,61,RECHAZADO,0,1,0.35,MODERADO,3,85
27,7380.25,2583.09,1,2,1,Propia,Consumo,35868.0,1,1,60,RECHAZADO,0,1,0.35,MODERADO,1,85
23,4576.0,1601.6,0,0,1,Propia,Consumo,24024.0,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,85
39,37625.0,13168.75,0,8,1,Propia,Consumo,9030.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,3,80
51,3000.0,600.0,0,5,1,Propia,Consumo,7161.0,1,1,46,RECHAZADO,0,1,0.2,BAJO,3,80
28,8703.01,3046.05,0,2,1,Propia,Consumo,50000.0,1,1,26,RECHAZADO,0,1,0.35,MODERADO,2,85
46,3691.33,184.57,0,8,1,Propia,Consumo,16611.0,1,1,46,RECHAZADO,0,1,0.05,BAJO,3,80
29,28284.38,1414.22,0,8,1,Rentada,Consumo,50000.0,1,1,51,RECHAZADO,0,1,0.05,BAJO,2,85
36,12192.25,2438.45,0,5,1,Rentada,Negocio,50000.0,1,1,52,RECHAZADO,0,1,0.2,BAJO,3,85
48,8348.15,1669.63,0,8,1,Propia,Emergencia,13524.0,1,1,52,RECHAZADO,0,1,0.2,BAJO,3,80
45,3000.0,1350.0,1,8,1,Propia,Educacion,3559.5,1,1,71,REVISION_MANUAL,0,1,0.45,ALTO,5,80
34,83037.5,20759.38,0,2,1,Propia,Consumo,19929.0,1,1,40,RECHAZADO,0,1,0.25,MODERADO,2,80
36,6980.56,1396.11,0,8,1,Propia,Consumo,30156.0,1,1,49,RECHAZADO,0,1,0.2,BAJO,3,85
30,3000.0,1050.0,0,0,1,Propia,Consumo,11077.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,80
70,63945.0,28775.25,2,0,1,Familiar,Consumo,50000.0,1,1,40,RECHAZADO,0,1,0.45,ALTO,4,85
20,6021.27,301.06,2,0,1,Propia,Consumo,16558.5,1,1,62,REVISION_MANUAL,0,1,0.05,BAJO,5,80
42,18790.62,6576.72,1,2,1,Propia,Consumo,27058.5,1,1,78,REVISION_MANUAL,0,1,0.35,MODERADO,2,85
52,3000.0,300.0,0,8,1,Propia,Consumo,3549.0,1,1,46,RECHAZADO,0,1,0.1,BAJO,3,80
65,3000.0,1050.0,0,8,1,Propia,Consumo,5995.5,1,1,39,RECHAZADO,0,1,0.35,MODERADO,3,80
50,6609.75,330.49,0,2,1,Propia,Consumo,39658.5,1,1,29,RECHAZADO,0,1,0.05,BAJO,2,85
31,3808.0,1332.8,0,2,1,Propia,Consumo,14280.0,1,1,23,RECHAZADO,0,1,0.35,MODERADO,2,80
68,6425.78,2249.02,0,0,1,Familiar,Consumo,12337.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,2,80
33,47308.33,21288.75,1,2,1,Propia,Consumo,34062.0,1,1,55,RECHAZADO,0,1,0.45,ALTO,3,85
