edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,etiqueta_real,etiqueta_binaria,score_mihac,dictamen,y_pred,y_real,dti_mihac,dti_clasificacion,n_reglas_activadas,umbral_aplicado
22,10848.18,3796.86,2,2,1,Propia,Consumo,50000.0,2,0,90,APROBADO,1,0,0.35,MODERADO,2,85
44,22013.25,7704.64,2,8,1,Familiar,Consumo,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
52,47162.5,11790.62,2,0,1,Propia,Consumo,50000.0,2,0,87,APROBADO,1,0,0.25,MODERADO,4,85
25,26288.28,9200.9,1,2,1,Propia,Negocio,50000.0,2,0,95,APROBADO,1,0,0.35,MODERADO,3,85
40,3000.0,750.0,1,8,1,Propia,Educacion,20758.5,2,0,86,APROBADO,1,0,0.25,MODERADO,3,85
44,65001.56,16250.39,2,0,1,Propia,Consumo,50000.0,2,0,87,APROBADO,1,0,0.25,MODERADO,4,85
47,91962.5,18392.5,2,2,1,Familiar,Educacion,50000.0,2,0,100,APROBADO,1,0,0.2,BAJO,3,85
39,31393.06,14126.88,2,8,1,Propia,Consumo,50000.0,2,0,100,APROBADO,1,0,0.45,ALTO,5,85
30,3000.0,1050.0,2,2,1,Propia,Emergencia,6709.5,2,0,99,APROBADO,1,0,0.35,MODERADO,3,80
66,3000.0,300.0,2,2,1,Propia,Consumo,8043.0,2,0,100,APROBADO,1,0,0.1,BAJO,3,80
74,49865.28,22439.38,2,8,1,Familiar,Consumo,50000.0,2,0,92,APROBADO,1,0,0.45,ALTO,4,85
20,3000.0,600.0,1,5,1,Propia,Consumo,7077.0,2,0,92,APROBADO,1,0,0.2,BAJO,5,80
54,16738.02,836.9,2,2,1,Propia,Negocio,48205.5,2,0,100,APROBADO,1,0,0.05,BAJO,4,85
34,3363.5,672.7,1,5,1,Familiar,Negocio,40362.0,2,0,98,APROBADO,1,0,0.2,BAJO,3,85
36,6090.0,2131.5,2,2,1,Propia,Negocio,41107.5,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
21,3157.0,1104.95,1,5,1,Rentada,Educacion,9471.0,2,0,82,APROBADO,1,0,0.35,MODERADO,3,80
66,3000.0,1050.0,1,8,1,Propia,Negocio,20034.0,2,0,88,APROBADO,1,0,0.35,MODERADO,3,85
27,59942.97,8991.45,2,5,1,Propia,Consumo,50000.0,2,0,100,APROBADO,1,0,0.15,BAJO,4,85
53,27527.5,9634.62,1,8,1,Familiar,Consumo,50000.0,2,0,92,APROBADO,1,0,0.35,MODERADO,2,85
22,6897.33,2414.07,2,5,1,Propia,Consumo,15519.0,2,0,100,APROBADO,1,0,0.35,MODERADO,4,80
26,4911.67,1719.08,2,2,1,Propia,Consumo,44205.0,2,0,88,APROBADO,1,0,0.35,MODERADO,2,85
23,636781.25,159195.31,2,0,1,Propia,Consumo,50000.0,2,0,85,APROBADO,1,0,0.25,MODERADO,4,85
61,5534.0,1660.2,2,8,1,Rentada,Negocio,29053.5,2,0,100,APROBADO,1,0,0.3,MODERADO,3,85
29,3000.0,1050.0,1,8,1,Propia,Consumo,9607.5,2,0,86,APROBADO,1,0,0.35,MODERADO,3,80
37,3000.0,1050.0,2,8,1,Propia,Consumo,8421.0,2,0,100,APROBADO,1,0,0.35,MODERADO,4,80
45,168337.5,58918.12,1,8,1,Propia,Consumo,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
28,3000.0,1050.0,2,5,1,Propia,Consumo,32130.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
32,201731.25,70605.94,2,0,1,Propia,Consumo,48415.5,2,0,87,APROBADO,1,0,0.35,MODERADO,4,85
26,54468.75,19064.06,2,0,1,Propia,Consumo,50000.0,2,0,87,APROBADO,1,0,0.35,MODERADO,4,85
24,9019.79,3156.93,2,2,1,Propia,Consumo,12988.5,2,0,99,APROBADO,1,0,0.35,MODERADO,3,80
25,4994.79,2247.66,2,5,1,Propia,Consumo,7192.5,2,0,91,APROBADO,1,0,0.45,ALTO,5,80
29,27970.83,9789.79,2,2,1,Propia,Consumo,10069.5,2,0,100,APROBADO,1,0,0.35,MODERADO,3,80
60,14371.39,4311.42,2,8,1,Familiar,Consumo,50000.0,2,0,100,APROBADO,1,0,0.3,MODERADO,3,85
37,14009.11,4903.19,1,5,1,Rentada,Negocio,50000.0,2,0,93,APROBADO,1,0,0.35,MODERADO,3,85
57,16704.33,5846.52,2,8,1,Familiar,Consumo,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
46,26753.12,9363.59,2,8,1,Rentada,Consumo,12841.5,2,0,100,APROBADO,1,0,0.35,MODERADO,3,80
33,3000.0,750.0,2,2,1,Propia,Consumo,10941.0,2,0,97,APROBADO,1,0,0.25,MODERADO,3,80
25,60418.75,21146.56,2,8,1,Propia,Consumo,29001.0,2,0,100,APROBADO,1,0,0.35,MODERADO,4,85
29,41300.0,18585.0,2,2,1,Propia,Consumo,50000.0,2,0,85,APROBADO,1,0,0.45,ALTO,4,85
25,10820.83,2705.21,2,2,1,Propia,Consumo,15582.0,2,0,100,APROBADO,1,0,0.25,MODERADO,3,80
26,3000.0,1050.0,2,0,1,Propia,Negocio,6394.5,2,0,81,APROBADO,1,0,0.35,MODERADO,5,80
41,3000.0,1350.0,2,8,1,Propia,Educacion,7549.5,2,0,100,APROBADO,1,0,0.45,ALTO,6,80
31,17561.98,6146.69,1,5,1,Propia,Consumo,50000.0,2,0,96,APROBADO,1,0,0.35,MODERADO,3,85
35,16459.72,5760.9,1,8,1,Familiar,Consumo,35553.0,2,0,85,APROBADO,1,0,0.35,MODERADO,2,85
42,26956.48,9434.77,1,8,1,Familiar,Negocio,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
27,5497.8,1374.45,2,2,1,Propia,Consumo,13744.5,2,0,99,APROBADO,1,0,0.25,MODERADO,3,80
