edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,etiqueta_real,etiqueta_binaria,score_mihac,dictamen,y_pred,y_real,dti_mihac,dti_clasificacion,n_reglas_activadas,umbral_aplicado
67,8183.0,2045.75,0,8,1,Propia,Consumo,12274.5,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
22,10848.18,3796.86,2,2,1,Propia,Consumo,50000.0,2,0,90,APROBADO,1,0,0.35,MODERADO,2,85
49,15283.33,5349.17,0,5,1,Propia,Educacion,22008.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,4,85
45,16420.83,5747.29,1,5,1,Familiar,Consumo,50000.0,1,1,85,APROBADO,1,1,0.35,MODERADO,2,85
53,11836.81,4142.88,0,2,1,Familiar,Consumo,50000.0,2,0,13,RECHAZADO,0,0,0.35,MODERADO,1,85
35,22008.68,5502.17,2,2,1,Familiar,Educacion,50000.0,1,1,100,APROBADO,1,1,0.25,MODERADO,3,85
53,6890.62,689.06,2,8,1,Propia,Consumo,29767.5,1,1,100,APROBADO,1,1,0.1,BAJO,3,85
35,16887.5,5910.62,2,2,1,Rentada,Consumo,50000.0,1,1,88,APROBADO,1,1,0.35,MODERADO,2,85
61,22305.21,1115.26,2,5,1,Propia,Consumo,32119.5,1,1,100,APROBADO,1,1,0.05,BAJO,4,85
28,7327.6,2564.66,0,0,1,Propia,Consumo,50000.0,2,0,0,RECHAZADO,0,0,0.35,MODERADO,3,85
25,6295.14,2203.3,2,0,1,Rentada,Consumo,13597.5,2,0,53,RECHAZADO,0,0,0.35,MODERADO,3,80
24,5235.42,1832.4,1,0,1,Rentada,Negocio,45234.0,2,0,24,RECHAZADO,0,0,0.35,MODERADO,2,85
22,34278.12,11997.34,2,2,1,Propia,Consumo,16453.5,1,1,100,APROBADO,1,1,0.35,MODERADO,3,80
60,3000.0,1050.0,0,8,1,Propia,Consumo,12589.5,2,0,39,RECHAZADO,0,0,0.35,MODERADO,3,80
28,8184.17,2864.46,1,2,1,Rentada,Consumo,14731.5,1,1,52,RECHAZADO,0,1,0.35,MODERADO,1,80
32,3000.0,600.0,1,2,1,Propia,Consumo,13461.0,2,0,62,REVISION_MANUAL,0,0,0.2,BAJO,1,80
53,4242.0,1060.5,0,8,1,Propia,Consumo,25452.0,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,85
25,23543.33,8240.17,0,0,1,Propia,Negocio,50000.0,1,1,20,RECHAZADO,0,1,0.35,MODERADO,4,85
44,22013.25,7704.64,2,8,1,Familiar,Consumo,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
31,8336.81,833.68,2,8,1,Propia,Consumo,36015.0,1,1,100,APROBADO,1,1,0.1,BAJO,3,85
48,9958.67,3485.53,0,2,1,Propia,Consumo,22407.0,1,1,27,RECHAZADO,0,1,0.35,MODERADO,2,85
44,38602.08,3860.21,1,2,1,Rentada,Consumo,27793.5,1,1,72,REVISION_MANUAL,0,1,0.1,BAJO,1,85
48,58826.25,20589.19,0,0,1,Rentada,Consumo,23530.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,2,85
44,8769.44,1753.89,0,0,1,Propia,Consumo,18942.0,1,1,3,RECHAZADO,0,1,0.2,BAJO,3,80
26,18103.75,4525.94,0,2,1,Propia,Consumo,21724.5,1,1,32,RECHAZADO,0,1,0.25,MODERADO,2,85
36,60112.5,27050.62,1,2,1,Propia,Consumo,14427.0,1,1,55,RECHAZADO,0,1,0.45,ALTO,3,80
39,3000.0,1050.0,1,8,1,Propia,Consumo,4473.0,1,1,86,APROBADO,1,1,0.35,MODERADO,3,80
42,3000.0,150.0,2,2,1,Rentada,Consumo,4294.5,1,1,84,APROBADO,1,1,0.05,BAJO,2,80
34,20125.0,7043.75,2,2,1,Propia,Consumo,25357.5,1,1,100,APROBADO,1,1,0.35,MODERADO,3,85
63,6646.11,2326.14,0,8,1,Propia,Negocio,50000.0,2,0,55,RECHAZADO,0,0,0.35,MODERADO,4,85
36,6199.54,929.93,2,0,1,Propia,Negocio,20086.5,1,1,88,APROBADO,1,1,0.15,BAJO,5,85
27,14656.25,5862.5,1,2,1,Propia,Consumo,42210.0,1,1,65,REVISION_MANUAL,0,1,0.4,ALTO,2,85
30,28515.28,5703.06,2,2,1,Propia,Consumo,50000.0,1,1,100,APROBADO,1,1,0.2,BAJO,3,85
57,4424.0,1106.0,0,8,1,Rentada,Negocio,13272.0,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
33,5159.0,2321.55,2,0,1,Propia,Consumo,15477.0,1,1,44,RECHAZADO,0,1,0.45,ALTO,5,80
25,4429.6,1550.36,0,0,1,Propia,Consumo,49833.0,2,0,0,RECHAZADO,0,0,0.35,MODERADO,3,85
31,33414.06,15036.33,0,2,1,Familiar,Educacion,50000.0,1,1,5,RECHAZADO,0,1,0.45,ALTO,3,85
37,4900.0,1960.0,2,2,1,Propia,Consumo,22050.0,2,0,82,REVISION_MANUAL,0,0,0.4,ALTO,2,85
37,10718.75,3751.56,2,2,1,Propia,Consumo,12862.5,1,1,100,APROBADO,1,1,0.35,MODERADO,3,80
24,3000.0,1050.0,2,2,1,Propia,Consumo,4809.0,1,1,95,APROBADO,1,1,0.35,MODERADO,3,80
30,3266.2,653.24,2,8,1,Propia,Consumo,24496.5,1,1,100,APROBADO,1,1,0.2,BAJO,3,85
26,5629.17,562.92,2,2,1,Propia,Consumo,12159.0,1,1,100,APROBADO,1,1,0.1,BAJO,3,80
44,30158.33,10555.42,0,2,1,Propia,Emergencia,50000.0,1,1,42,RECHAZADO,0,1,0.35,MODERADO,2,85
24,54136.25,10827.25,0,5,1,Rentada,Consumo,50000.0,1,1,50,RECHAZADO,0,1,0.2,BAJO,2,85
58,5375.12,2150.05,0,8,1,Familiar,Consumo,50000.0,2,0,24,RECHAZADO,0,0,0.4,ALTO,2,85
35,5318.73,1861.56,0,0,1,Propia,Consumo,14626.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,80
39,3000.0,300.0,2,8,1,Propia,Consumo,24139.5,1,1,100,APROBADO,1,1,0.1,BAJO,3,85
23,59150.0,5915.0,1,0,1,Rentada,Consumo,14196.0,1,1,42,RECHAZADO,0,1,0.1,BAJO,2,80
39,172486.36,60370.23,0,2,1,Propia,Consumo,50000.0,1,1,40,RECHAZADO,0,1,0.35,MODERADO,2,85
28,7255.5,1451.1,2,2,1,Propia,Consumo,21766.5,1,1,100,APROBADO,1,1,0.2,BAJO,3,85
29,4082.75,1428.96,0,0,1,Propia,Consumo,24496.5,1,1,0,RECHAZADO,0,1,0.35,MODERADO,3,85
30,57993.06,20297.57,0,8,1,Propia,Consumo,50000.0,1,1,59,RECHAZADO,0,1,0.35,MODERADO,3,85
25,6134.72,2147.15,2,2,1,Propia,Consumo,13251.0,1,1,99,APROBADO,1,1,0.35,MODERADO,3,80
31,16420.83,4105.21,2,2,1,Propia,Consumo,35469.0,1,1,100,APROBADO,1,1,0.25,MODERADO,3,85
57,3000.0,1350.0,0,8,1,Familiar,Consumo,23362.5,2,0,4,RECHAZADO,0,0,0.45,ALTO,3,85
26,34256.25,10276.88,2,2,1,Propia,Consumo,8221.5,1,1,100,APROBADO,1,1,0.3,MODERADO,3,80
52,47162.5,11790.62,2,0,1,Propia,Consumo,50000.0,2,0,87,APROBADO,1,0,0.25,MODERADO,4,85
31,23250.69,9300.28,0,2,1,Propia,Consumo,50000.0,1,1,26,RECHAZADO,0,1,0.4,ALTO,2,85
23,6355.09,2224.28,2,8,1,Propia,Consumo,20590.5,1,1,100,APROBADO,1,1,0.35,MODERADO,4,85
23,7267.17,2543.51,0,0,1,Rentada,Consumo,50000.0,2,0,0,RECHAZADO,0,0,0.35,MODERADO,2,85
27,13523.61,6085.62,2,2,1,Propia,Negocio,14605.5,1,1,86,APROBADO,1,1,0.45,ALTO,5,80
50,4303.6,1075.9,0,8,1,Propia,Consumo,16138.5,1,1,42,RECHAZADO,0,1,0.25,MODERADO,3,80
61,3000.0,1050.0,1,8,1,Familiar,Negocio,20506.5,2,0,78,REVISION_MANUAL,0,0,0.35,MODERADO,2,85
25,26288.28,9200.9,1,2,1,Propia,Negocio,50000.0,2,0,95,APROBADO,1,0,0.35,MODERADO,3,85
